state,district,year,residualsodiumcarbonate
Assam,Lakhimpur,2006,0.25
Assam,Lakhimpur,2008,0.5
Assam,Lakhimpur,2009,0.97000003
Assam,Lakhimpur,2010,0.36000001
Assam,Lakhimpur,2013,0.25999999
Assam,Lakhimpur,2014,-0.64769232
Assam,Lakhimpur,2015,0.75199997
Assam,Lakhimpur,2016,0.0
Assam,Lakhimpur,2017,-0.99773532
Assam,Lakhimpur,2018,-0.053881582
Assam,Marigaon,2005,0.18000001
Assam,Marigaon,2006,0.60000002
Assam,Marigaon,2007,0.36666667
Assam,Marigaon,2008,0.47999999
Assam,Marigaon,2010,0.89999998
Assam,Marigaon,2013,0.88
Assam,Marigaon,2014,-0.61199999
Assam,Marigaon,2015,0.51999998
Assam,Marigaon,2016,0.0
Assam,Marigaon,2017,1.7622356
Assam,Marigaon,2018,-3.6720576
Assam,Nagaon,2005,0.61500001
Assam,Nagaon,2006,0.54666668
Assam,Nagaon,2007,1.152
Assam,Nagaon,2008,1.0600001
Assam,Nagaon,2009,1.906
Assam,Nagaon,2010,1.25
Assam,Nagaon,2011,0.63
Assam,Nagaon,2012,0.76999998
Assam,Nagaon,2013,0.22
Assam,Nagaon,2014,0.22923075
Assam,Nagaon,2015,-0.85263157
Assam,Nagaon,2016,0.0
Assam,Nagaon,2017,1.3990105
Assam,Nagaon,2018,-2.0565562
Assam,Nalbari,2005,2.6199999
Assam,Nalbari,2006,2.6600001
Assam,Nalbari,2007,0.54000002
Assam,Nalbari,2008,2.0599999
Assam,Nalbari,2012,1.66
Assam,Nalbari,2015,2.0
Assam,Nalbari,2016,0.0
Assam,Nalbari,2018,-0.14703436
Assam,Sivasagar,2005,0.039999999
Assam,Sivasagar,2006,1.1900001
Assam,Sivasagar,2007,0.32571429
Assam,Sivasagar,2010,1.0
Assam,Sivasagar,2013,1.0
Assam,Sivasagar,2014,-0.91499996
Assam,Sivasagar,2015,-0.62333339
Assam,Sivasagar,2016,0.0
Assam,Sonitpur,2005,0.56666666
Assam,Sonitpur,2006,0.16
Assam,Sonitpur,2008,1.8100001
Assam,Sonitpur,2009,2.7133334
Assam,Sonitpur,2014,-3.02
Assam,Sonitpur,2015,-0.16909091
Assam,Sonitpur,2016,0.0
Assam,Sonitpur,2017,-1.1446154
Assam,Sonitpur,2018,0.0
Assam,Tinsukia,2005,0.22
Assam,Tinsukia,2007,1.4466666
Assam,Tinsukia,2008,0.22
Assam,Tinsukia,2009,0.039999999
Assam,Tinsukia,2010,0.59333336
Assam,Tinsukia,2012,0.51999998
Assam,Tinsukia,2013,1.3066667
Assam,Tinsukia,2014,-3.4085712
Assam,Tinsukia,2016,0.0
Assam,Tinsukia,2017,-2.5279999
Assam,Tinsukia,2018,-3.0073349
Assam,Udalguri,2005,0.14666666
Assam,Udalguri,2006,1.1440001
Assam,Udalguri,2007,1.4466666
Assam,Udalguri,2008,0.44666666
Assam,Udalguri,2014,-0.15199998
Assam,Udalguri,2015,-0.47111112
Assam,Udalguri,2016,0.0
Assam,Udalguri,2018,-0.72540426
Bihar,Araria,2007,0.38
Bihar,Araria,2008,0.81
Bihar,Araria,2011,2.4000001
Bihar,Araria,2013,1.87
Bihar,Arwal,2001,1.67
Bihar,Arwal,2005,2.2
Bihar,Arwal,2007,1.1896966
Bihar,Arwal,2008,1.8200001
Bihar,Arwal,2010,5.4099998
Bihar,Arwal,2011,2.335
Bihar,Arwal,2012,2.5
Bihar,Arwal,2013,1.7333333
Bihar,Aurangabad,2000,4.1079998
Bihar,Aurangabad,2005,5.6657143
Bihar,Aurangabad,2009,5.6900001
Bihar,Aurangabad,2010,3.1699998
Bihar,Aurangabad,2011,3.1600001
Bihar,Aurangabad,2016,-10.548235
Bihar,Banka,2005,0.80000001
Bihar,Banka,2008,0.89499998
Bihar,Banka,2009,1.49
Bihar,Banka,2010,2.3148181
Bihar,Banka,2011,1.6566666
Bihar,Banka,2012,2.3800001
Bihar,Banka,2013,1.908
Bihar,Begusarai,2000,2.9695835
Bihar,Begusarai,2005,0.77999997
Bihar,Begusarai,2008,0.5
Bihar,Begusarai,2009,0.13333333
Bihar,Begusarai,2010,2.45
Bihar,Begusarai,2011,2.1872623
Bihar,Begusarai,2012,2.47
Bihar,Begusarai,2013,1.3
Bihar,Bhagalpur,2000,1.3200001
Bihar,Bhagalpur,2004,5.0999999
Bihar,Bhagalpur,2005,2.8
Bihar,Bhagalpur,2007,7.2666669
Bihar,Bhagalpur,2008,16.6
Bihar,Bhagalpur,2009,2.01
Bihar,Bhagalpur,2010,1.14
Bihar,Bhagalpur,2011,2.3880546
Bihar,Bhagalpur,2012,1.525
Bihar,Bhagalpur,2013,3.8228571
Bihar,Bhojpur,2004,3.076
Bihar,Bhojpur,2005,1.8
Bihar,Bhojpur,2007,0.2
Bihar,Bhojpur,2008,2.1066666
Bihar,Bhojpur,2009,1.0
Bihar,Bhojpur,2010,0.94
Bihar,Bhojpur,2011,0.89999998
Bihar,Bhojpur,2012,1.316
Bihar,Bhojpur,2013,2.3
Bihar,Buxar,2004,2.1800001
Bihar,Buxar,2007,2.27
Bihar,Buxar,2008,0.38
Bihar,Buxar,2009,1.3
Bihar,Buxar,2010,6.353333
Bihar,Buxar,2011,6.373333
Bihar,Buxar,2012,6.46
Bihar,Buxar,2013,7.3000002
Bihar,Darbhanga,2001,5.6131577
Bihar,Darbhanga,2006,4.2466669
Bihar,Darbhanga,2007,3.1400001
Bihar,Darbhanga,2008,4.7633333
Bihar,Darbhanga,2009,3.0999999
Bihar,Darbhanga,2010,1.52
Bihar,Darbhanga,2011,2.3
Bihar,Darbhanga,2012,2.3733335
Bihar,Darbhanga,2013,3.5714285
